ID,CHALLENGE,CREATED,DESCRIPTION,HIT_ID,STATUS,WORKER_ID,LENGTH,SPAM,TRIGGERED
7a694ff300b346c699fd103caa4ba3d2,cscw19-1-imageAndDescription-label,2019-03-23 22:57:22.179," Users can project their desktop onto a flat surface and control it with ... But here's what's really cool: To control it you simply tap on the projected image. ... It could help stores display interactive product information after ... ""By making it possible to turn any surface into a touch screen",3VGZ74AYTGN0KIVV8FT04RZAIZHCG7,unreviewed,A1PT6264PIYFCI,298,spam,"Charseq, bayes"
dddc7029dc6d441fb7abeb9eedbcf038,cscw19-1-description-label,2019-03-23 22:51:44.575,All other products and services may be trademarks of their respective owners. ..... how to use the lab investigations in your AP Biology Course. The revised AP ...,3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,APHQB0WGRUJTB,163,spam,"Charseq, bayes"
4625ca84cf6349a3bb8dfef6ae769473,cscw19-1-imageAndDescription-label,2019-03-23 23:34:45.957," RELATED TAGS: GADGETS ... “Yeah, I can feel it getting smoother,” says Quintanilla, who is blind. The touch pad in his hands displays a snowy, frosted window that his finger wipes smoother with every pass. ... Israr is part of a community of researchers working to make touch screens more, well, touchable.",3FTID4TN8L5T9DA1FY85EAW1H4LLYU,unreviewed,A2D7V4E7TCYOZF,307,spam,"Charseq, bayes"
2b9368a61d2f4def9bb33e2f7f3820c0,cscw19-1-imageAndDescription-label,2019-03-23 23:03:20.133,"A new prototype can transform a notebook into a notebook computer, a wall into ... can turn any nearby surface into an ad hoc interactive touch screen. ... Instead of relying on screens, buttons, or keys, the system monitors the user's ... But the team has built several sample applications; one allows users to .",3VGZ74AYTGN0KIVV8FT04RZAIZHCG7,unreviewed,A1PT6264PIYFCI,313,spam,"Charseq, bayes"
1e6e2abff76940af8d9c54a94a92f717,cscw19-1-description-label,2019-03-23 22:53:22.252," I wrote a book of design essays with my friend Lukas ... So every time I publish something, I get a few emails complaining about things. ... I built this site because I believe the soul of a product can be found in interaction design. .... it so you could just flick the video off your phone's screen up to the tv?",3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,APHQB0WGRUJTB,315,spam,"Charseq, bayes"
6e06f961eb354a37905a757f74902025,cscw19-1-imageAndDescription-label,2019-03-23 23:27:04.116,"Surface Computing: The iDesk Final Frame Desk Gadgets, Gadgets And Gizmos, ... Weekly Innovation: Turn A 3D Printer into a Tattoo Machine Cool Gadgets, .... desks to touch screen tables, these workspaces will change the way you think ... The technology has been customized to serve architects and designers, they buil",3FTID4TN8L5T9DA1FY85EAW1H4LLYU,unreviewed,A2D7V4E7TCYOZF,317,spam,"Charseq, bayes"
12f82a80e9ad4d3ba1c164797e973157,cscw19-1-imageAndDescription-label,2019-03-23 22:53:00.6,"Bill Gates will demo a new multi-touch computer and interface today called ... the touch screen hardware setup itself; the corresponding software to ... TouchWall and Plex are superficially similar to Microsoft Surface, ... and a the system worked fine (I'm trying to get Microsoft to release ..... All rights reserved.",3VGZ74AYTGN0KIVV8FT04RZAIZHCG7,unreviewed,A1PT6264PIYFCI,319,spam,"Charseq, bayes"
b442f006f1ea4ad398c8d2f6741cd493,cscw19-1-description-label,2019-03-23 22:39:30.135,"Users can project their desktop onto a flat surface and control it with ... But here's what's really cool: To control it you simply tap on the projected image. ... It could help stores display interactive product information after ... ""By making it possible to turn any surface into a touch screen, we eliminate the need",3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,APHQB0WGRUJTB,320,spam,"Charseq, bayes"
b2dfd9a4522644858b98e918d08a7432,cscw19-1-description-label,2019-03-23 22:50:42.433,"No part of this publication may be reproduced, stored in a retrieval system, ...... As you can imagine, coordinating the activities of all these parties is challenging. ... management thinking has become, consider the example of Panera Bread in the ..... Products and Services Part III, Establishing Supply Chain Linkages.",3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,APHQB0WGRUJTB,322,spam,"Charseq, bayes"
2644f0e90c9148089eb1ab6be6efe712,cscw19-1-description-label,2019-03-23 22:44:04.206,"This time around, GE Aviation will build the backup electrical power system, ... body on a Boeing 737 — to turn a coil inside an induced magnetic field in the generator ... GE's BuG puts out 50 kilowatts of power from each of the 777X's two engines ... “If you're using backup power, you're going to have to go without a movie",3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,APHQB0WGRUJTB,326,spam,"Charseq, bayes"
003ad68d086042a2a44e7353d57ee3d5,cscw19-1-imageAndDescription-label,2019-03-23 23:15:40.282,"Design and Discovery is a curriculum that can be implemented in ... bicycles to think about systems and components in a product they might ..... Look at the 1B Handout: The Design Process, and have students take turns reading ...... electrons can be rubbed from one surface to another where they build up as static electricity;.",3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,A2DHLRV1OE925A,328,spam,"Charseq, bayes"
