ID,DESCRIPTION,STATUS,CREATED,WORKER_ID,CHALLENGE,TRIGGERED
130cfde757a84ce5a213cce2c4463b04,this fabric could be used in movie theaters instead of projector screens ,usable,2019-07-24 08:13:02.06,AQ9Y6WD8O72ZC,FABRIC_DISPLAY,"['Wordcount', 'Wordcount', 'Wordcount', 'Wordcount']"
0318642b66d242e5a15f89a0f2472df5,"Hang this like a piece of cloth/curtain over a window with a poor or undesirable view (adjacent building, the highway, etc.) and project any scene you want to live near. One day, you could be living in the countryside and mountains. Another day, you might be enjoying panoramic ocean views. At night, you suddenly live well above the illuminated city skyline.",usable,2019-07-28 21:41:52.438,A2NEFRREWF33YP,FABRIC_DISPLAY,[]
bf59c8a697a9421a8145cdddcea54924,can alert people when it is their turn in line or waiting for a table or waiting for event starting.,usable,,,FABRIC_DISPLAY,[]
71141c0a4b6142418ebaaad17009b584,"It could be used as a prank device that you attach to someone's clothes and it shows them wearing a funny outfit, or what they might look like naked.",usable,2019-07-25 22:03:11.574,A19R9046KFC12H,FABRIC_DISPLAY,[]
2223db73d9564de0b110a4b2c1f91ce1,new ways to pick paint out since you have all the colors on one piece of fabric,usable,,,FABRIC_DISPLAY,"['Wordcount', 'Wordcount']"
29f572da7e844be8b7f310875ce760b0,"
Bedsheets for kids that can be updated as their hobbies change. If they like Spiderman one year they can be Spiderman themed. Then the next year if they hate Spiderman, but now love Legos you could switch it to be Lego themed.",usable,2019-07-24 22:40:31.926,A1AKL5YH9NLD2V,FABRIC_DISPLAY,"['containsName', 'containsName']"
2941cb800942405a92540830f82416ed,"Safety gear for construction workers. Instead of just reflective plastic bands, these fabric can emit light making them workers visible for miles keeping them safe from inattentive drivers. ",usable,2019-07-23 21:49:46.309,AO33H4GL9KZX9,FABRIC_DISPLAY,[]
e0413e21c9af49d3a8bb3ef17bc90d61,You could use it on your pet's collars to give owner's information or just for customize able collars. Or maybe even pet health information.,usable,2019-07-29 18:12:40.221,A2196WCNDZULFS,FABRIC_DISPLAY,[]
bc8f888a5b5f4858b9e499f898ff6035,mugs,unusable,2019-07-22 17:23:17.338,AVPW7AXI9AFSM,FABRIC_DISPLAY,"['Charcount', 'Charcount', 'Charcount', 'Charcount', 'Charcount', 'Charcount', 'Charcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'without verb or adj', 'without verb or adj unigram', 'Charcount', 'Charcount', 'Charcount', 'Charcount', 'Charcount', 'Charcount', 'Charcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'without verb or adj', 'without verb or adj unigram']"
02cdd769c29d41229fba0fbcd1de8264,"Novelty advanced display item for use in Vegas, luxury stores etc. Could display useful information (time, prices etc) or advertisements, but allow the customer to interact with it to increase engagement",usable,,,FABRIC_DISPLAY,[]
