ID,DESCRIPTION,STATUS,CREATED,WORKER_ID,CHALLENGE,TRIGGERED
61b404e6a5744b858720cf5ff04630bc,It can be used on people to track how their body moves doing different exercises so that the person knows if they are performing the exercise correctly or not so that they don't cause an injury to themselves.,usable,,,BIONIC_RADAR,[]
75aeeef013ad495d824f2f8a623565a5,"Put it in a working environment to track workers and tools. It could keep a record of who had which tool at which time in a factory, and what they did with it.",usable,2019-07-29 20:28:42.307,AIK9IRPT4M848,BIONIC_RADAR,[]
9e78667f2d7d4806ae639f3f71046a9b,"A wearable hardware for showing body and muscle composition. It can be helpful for clothing fitting or calculating BMI, body mass index. Further implementing hardware can include heartbeat controllers or heat sensors. Doctors can use it for diagnosing close muscle groups in new ways by using lengthy wearing periods that track muscle movements that they can't do during a simple doctor's visit.",usable,,,BIONIC_RADAR,[]
a9e650dab19c4037896797257cfbfe6c,THERE ARE TWO ONE IS SENDER AND RECEIVER THE TWO WILL DO DIFFERENT THINGS,unusable,,,BIONIC_RADAR,"['Wordcount', 'Wordcount', 'Uppercase', 'without verb or adj unigram', 'Wordcount', 'Wordcount', 'Uppercase', 'without verb or adj unigram']"
66d2fb9d5ddb4dcfa177172fa17bfc2b,This can be used for dogs/other animals for locating them and addressing health issues,usable,,,BIONIC_RADAR,"['Wordcount', 'Wordcount', 'Wordcount', 'Wordcount']"
560a391c2d204e74b326218c214de618,You can track the most efficient routes to different places in a city or town,usable,,,BIONIC_RADAR,"['Wordcount', 'Wordcount']"
30f23e95cd0c4651958dc10398902603,"It could be used on an automatic door for pets. Say, you let your dog or cat out and it is mounted over a dog/cat door. The device could recognize your specific pet and allow them into your home while keeping out unwanted visitors.",usable,,,BIONIC_RADAR,[]
d267678b5d76443088f48469617b440f,This device can be used to monitor the pedestrian movement in a rural area for construction purpose.,usable,,,BIONIC_RADAR,"['Wordcount', 'Wordcount']"
a3e8497426a04c39a5436a2cb2901142,"I live in Vegas and i was thinking this could be used to find and track criminals in casinos easier. Maybe some type of interface with the police force would notify if they are wounded or not or passed by a certain area and changed cloths etc. It could give them an up to date exact image of the person, their cloths etc. It could also catch people that are wanted in crowds or known terrorists and notify the police.",usable,2019-07-29 00:42:46.691,A11FRLH5KWRLBV,BIONIC_RADAR,[]
3556596fe5a148ac82f254c1b77c9ddf,This movement information could be used to identify migratory patterns of essential species and allow for plans to encourage more timely migration if needed.,usable,,,BIONIC_RADAR,[]
709d5649623d4dd3a91072f74b6fa54b,"Baseball analytics could use this to determine pitch types thrown (curveball, fastball, slider, etc.) by being able to recognize hand positions during the pitcher's release.",usable,,,BIONIC_RADAR,[]
8b474035e26e4eb0a34f6e1dda97275f,A gadget placed in various places to detect animal movements to a very detailed extent. Not only would it start to establish patterns it would be able to identify if it was the same animal as well.,usable,,,BIONIC_RADAR,[]
551f70a455ae4e91925870ea0be75ac4,We could use it in sports. We could place the devices around sport courts and fields and track each individual player. Then the coach can analyze each player's movement and performance and give individual feedback or make decisions according to the data.,usable,2019-07-29 18:55:12.975,A27353U3GOR77W,BIONIC_RADAR,[]
a7d641d5a2674ba1a0783f37457628e4,could be used to detect movement in the area to watch big predators and see their behavior for new animal insights.,usable,,,BIONIC_RADAR,[]
03c5f1a4310e450ebcdf5fdd478180be,We could use a device like this in front of a key board while you type. It would analyze and tell you how you are typing wrong and give you a better understanding to typing the correct way.,usable,2019-07-29 20:49:11.073,A1ORIURWIK9MG6,BIONIC_RADAR,[]
a0e1f4c69ede4960b1010b8aecda66ad,Can be used to record where race drivers take their turns to help improve their cornering to improve overall racing times.,usable,2019-07-23 21:09:30.399,A35NM2285DUAFH,BIONIC_RADAR,[]
e1bcdc446d904fecbf07fec01f12f295,"This could be used by those who might work with dangerous animals to predict behavior that could lead to injuries or death, thereby hopefully preventing them.",usable,,,BIONIC_RADAR,[]
6e31ad90e48741308dd91d8e5b99118d,"This tech could be used to identify the movements of specific drivers, so that bad drivers could be contacted to be enrolled in re-education, or some-such.",usable,,,BIONIC_RADAR,[]
69cad4f9a75d4f22b1994b7bef62ecb5,we can put it on buildings in case an escaped animal like a bear shows up there will be an alert that goes to peoples phone as an app and alerts them a dangerous animal is outside,usable,,,BIONIC_RADAR,[]
471d5e35c9ca492b8112092b5a0f114c,It can also used to detect underwater animal by placing it under the boats.,usable,2019-07-22 17:58:31.094,A3ICFFGBUY4WP9,BIONIC_RADAR,"['Wordcount', 'Wordcount', 'Wordcount', 'Wordcount']"
